SPEC #,GROUP,BV/TV,OV/TV,OV/BV,BS/BV,OS/BS,ObS/BS,ObS/OS,OcS/BS,TbTh,OTh,NOb/TAR,NOb/BPm,NOb/Opm,Nob/Obpm,NOc/TAR,NOc/BPm,TbSp,TbN
FV061,,19.86,0.47,2.39,51.95,17.88,8.44,47.2,6.96,38.5,2.56,76.41,7.41,41.43,87.77,19.1,1.85,155.37,5.16
FV062,,21.06,1.31,6.24,51.95,31.75,22.36,70.43,5.01,38.5,3.78,203.53,18.6,58.58,83.18,16.89,1.54,144.26,5.47
FV063,,3.63,0.09,2.5,68.26,15.5,7.4,47.77,4.85,29.3,2.39,13.58,5.48,35.34,73.97,5.09,2.05,777.51,1.24
FV064,,13,1.11,8.56,55.17,47.47,27.69,58.34,7.93,36.25,3.27,178.6,24.91,52.47,89.93,15.45,2.15,242.65,3.58
FV065,,15.05,0.59,3.93,42.78,34.68,10.85,31.28,4.14,46.74,2.65,63.24,9.82,28.31,90.49,8.69,1.35,263.74,3.22
FV066,,10.7,0.73,6.85,55.04,41.92,16.76,39.97,3.91,36.34,3,80.2,13.62,32.48,81.27,7.36,1.25,303.24,2.94
FV067,,13.14,0.37,2.8,58.28,21.06,3.96,18.83,2.5,34.32,2.29,24.37,3.18,15.11,80.29,5.08,0.66,226.92,3.83
FV068,,9.89,0.44,4.43,51.9,27.68,11.36,41.01,6.43,38.53,3.06,62.19,12.12,43.78,106.77,9.87,1.92,351.21,2.56
FV069,,14.29,0.64,4.51,53.89,31.08,15.52,49.94,5.13,37.11,2.7,100.54,13.05,41.99,84.08,12.57,1.63,222.55,3.85
FV070,,15.24,0.45,2.97,36.08,30.02,3.83,12.75,3.85,55.44,2.74,23.01,4.18,13.94,109.31,7.67,1.39,308.3,2.75
FV071,,15.41,0.41,2.69,38.1,23.79,5.75,24.19,5.1,52.49,2.97,26.95,4.59,19.3,79.78,10.22,1.74,288.16,2.93
FV072,,21.55,0.75,3.48,46.62,22.65,9.55,42.15,7.83,42.9,3.27,80.43,8,35.34,83.85,24.37,2.42,156.16,5.02
FV073,,14.87,0.64,4.32,59.31,23.37,14.42,61.69,11.36,33.72,3.16,113.06,12.82,54.84,88.9,23.8,2.7,193.06,4.41
FV074,,33.27,0.98,2.95,37.56,28.31,16.79,59.3,11.48,53.25,2.74,210.32,16.83,59.45,100.26,40.87,3.27,106.78,6.25
FV075,,19.22,0.9,4.68,39.94,32.99,20.3,61.54,11.97,50.07,3.51,146.4,19.07,57.8,93.92,25.96,3.38,210.4,3.84
FV076,,18.07,0.87,4.84,51.36,33.91,19.63,57.88,5.48,38.94,2.77,163.32,17.59,51.89,89.64,13.7,1.47,176.52,4.64
FV077,,24.59,1.52,6.17,42.71,45.9,29.11,63.42,7.51,46.82,3.11,309.95,29.51,64.3,101.38,20.34,1.94,143.62,5.25
FV078,,17.96,2.14,11.94,55.94,56.73,36.49,64.32,5.7,35.75,3.74,344.43,34.28,60.43,93.94,18.59,1.85,163.31,5.02
FV079,,37.74,1.28,3.38,33.67,31.02,18.02,58.08,9.64,59.39,3.18,219.18,17.25,55.59,95.71,37.16,2.92,97.98,6.35
FV080,,11.32,0.53,4.65,49.21,32.48,22.73,70,13.83,40.64,2.95,113.58,20.4,62.8,89.72,22.26,4,318.5,2.78
FV081,,12.12,0.43,3.54,43.29,29.76,11.6,38.99,7.2,46.2,2.73,47.7,9.09,30.55,78.37,8.89,1.69,335.03,2.62
FV082,,18.49,1.78,9.64,47.17,54.28,38.83,71.52,10.08,42.39,3.76,341.61,39.15,72.12,100.84,20.79,2.38,186.82,4.36
FV083,,31.61,1.08,3.43,44.97,24.53,11.61,47.35,8.52,44.48,3.04,148.29,10.43,42.53,89.81,28.62,2.01,96.23,7.11
FV084,,22.61,1.14,5.04,34.08,36.96,28.21,76.34,10.92,58.68,3.98,198.35,25.74,69.64,91.22,18.24,2.37,200.84,3.85
FV085,,18.59,1.27,6.81,50.12,38.59,24.46,63.4,6.81,39.9,3.54,203.14,21.79,56.48,89.08,20.59,2.21,174.67,4.66
FV086,,29.52,1.33,4.52,36.22,37.39,15.36,41.07,4.85,55.21,3.33,165.61,15.49,41.43,100.86,15.88,1.48,131.84,5.35
FV087,,29.19,1.97,6.74,45.78,41.64,27.42,65.86,9.78,43.69,3.53,318.2,23.81,57.18,86.83,32.57,2.44,105.97,6.68
FV088,,29.2,0.99,3.38,36.67,28.07,15.18,54.06,12.56,54.53,3.24,157.49,14.71,52.39,96.91,41.22,3.85,132.24,5.35
FV089,,17.23,0.53,3.06,46.2,25.11,8.38,33.38,4.3,43.29,2.65,55.98,7.03,28.01,83.89,9.77,1.23,207.99,3.98
FV090,,12.25,0.59,4.83,63.43,26.9,14.28,53.1,5.86,31.53,2.86,105.54,13.58,50.5,95.11,12.33,1.59,225.9,3.88
FV091,,11.99,0.46,3.82,52,28.95,9.21,31.8,7.4,38.46,2.55,49.17,7.89,27.24,85.65,13.89,2.23,282.35,3.12
FV092,,12.05,0.41,3.42,53.96,23.96,7.13,29.78,4.88,37.06,2.63,35.47,5.45,22.77,76.46,8.44,1.3,270.55,3.25
FV093,,10.4,0.48,4.63,52.34,33.97,12.73,37.47,2.45,38.21,2.57,59.01,10.84,31.9,85.14,3.42,0.63,329.13,2.72
