Mouse,Gender,Batch,Femur length (mm),BV/TV (%),BMD (mgHA/cm3),BS/BV (mm2/mm3),Conn.D. (1/mm3),SMI,Tb.N (1/mm),Tb.Th (mm),Tb.Sp (mm),Ct.Ar[mm2],Ma.Ar[mm2],Tt.Ar[mm2],Ct.Ar/Tt.Ar (%),Ct.Th (mm),Ct.TMD (mgHA/cm3),Cort. Porosity (%),pMOI[mm4],Imax[mm4],Imin[mm4]
622,M,11,14.93,5.58,136,47.64,22,2.668,2.29,0.055,0.443,0.820,0.781,1.601,51.21,0.219,1245,0.981,0.327,0.209,0.117
623,M,11,15.59,20.90,260,47.83,206,1.775,5.32,0.053,0.175,0.939,0.812,1.751,53.62,0.225,1202,0.964,0.398,0.254,0.145
624,M,11,14.68,3.81,96,56.74,14,2.681,1.54,0.047,0.655,0.516,0.645,1.161,44.42,0.150,1179,0.899,0.152,0.094,0.058
626,M,11,15.73,7.35,157,67.05,50,2.930,3.79,0.041,0.262,0.958,0.655,1.614,59.39,0.255,1260,0.627,0.353,0.210,0.143
628,M,11,14.78,10.61,176,62.53,116,2.486,4.51,0.043,0.219,0.811,0.819,1.630,49.75,0.197,1176,0.734,0.346,0.241,0.105
629,M,11,14.63,18.16,246,46.71,134,1.934,4.81,0.054,0.202,0.730,0.566,1.296,56.34,0.212,1244,0.673,0.223,0.141,0.083
632,M,11,14.88,16.04,214,50.72,147,2.079,4.69,0.051,0.209,0.723,0.823,1.546,46.76,0.185,1213,0.749,0.278,0.163,0.116
636,M,11,14.78,7.61,151,60.66,51,2.953,3.81,0.048,0.259,0.854,0.740,1.594,53.58,0.223,1198,0.740,0.328,0.203,0.125
640,F,11,15.08,8.51,178,57.32,52,2.958,3.50,0.049,0.285,0.893,0.690,1.584,56.41,0.235,1250,0.661,0.326,0.185,0.141
641,F,11,14.99,17.67,241,51.04,174,1.945,4.95,0.051,0.193,0.868,0.563,1.431,60.68,0.229,1245,1.068,0.292,0.195,0.097
642,F,11,14.17,20.27,262,42.93,163,1.801,4.73,0.060,0.207,0.632,0.579,1.211,52.20,0.181,1236,0.731,0.187,0.120,0.067
645,F,11,15.44,16.20,224,47.44,135,2.033,4.30,0.055,0.232,0.841,0.769,1.610,52.22,0.210,1246,0.796,0.324,0.195,0.129
649,F,11,14.83,16.32,231,40.01,87,2.002,3.94,0.067,0.258,0.753,0.524,1.277,58.96,0.222,1253,0.646,0.223,0.142,0.082
650,F,11,14.78,20.82,259,45.36,177,1.578,5.05,0.055,0.192,0.850,0.795,1.644,51.68,0.215,1252,0.712,0.336,0.203,0.133
651,F,11,16.13,17.16,239,45.75,111,1.950,4.58,0.056,0.215,0.891,0.561,1.452,61.38,0.256,1260,0.587,0.290,0.173,0.117
652,F,11,15.04,15.41,229,47.21,115,2.266,4.41,0.057,0.231,0.766,0.662,1.428,53.67,0.205,1238,0.627,0.260,0.157,0.103
653,F,11,14.17,17.71,248,42.85,102,1.864,4.26,0.060,0.238,0.781,0.731,1.512,51.68,0.201,1228,0.672,0.286,0.175,0.110
658,F,11,13.42,5.50,137,43.68,15,2.348,1.98,0.062,0.518,0.553,0.454,1.007,54.93,0.180,1228,0.749,0.130,0.077,0.053
659,M,11,15.79,12.96,199,57.60,131,2.329,4.72,0.047,0.207,0.973,0.993,1.966,49.49,0.220,1205,0.871,0.470,0.292,0.178
660,M,11,15.06,22.10,264,49.30,273,1.752,6.01,0.051,0.163,0.720,0.752,1.472,48.89,0.196,1219,0.775,0.265,0.175,0.089
661,M,11,15.19,27.43,311,39.59,184,1.188,5.67,0.062,0.164,1.046,0.819,1.865,56.09,0.248,1209,1.102,0.473,0.316,0.157
662,M,11,14.53,6.24,143,69.03,37,3.328,3.97,0.043,0.251,0.751,0.788,1.539,48.81,0.198,1217,0.758,0.285,0.171,0.114
663,M,11,15.88,10.97,178,58.43,118,2.407,4.17,0.046,0.243,0.750,0.873,1.623,46.22,0.188,1206,0.801,0.299,0.167,0.131
664,M,11,15.08,11.54,196,49.63,66,2.569,3.89,0.054,0.259,0.882,0.632,1.514,58.22,0.248,1223,0.722,0.306,0.192,0.114
665,M,11,15.94,5.07,130,63.77,30,3.284,3.10,0.045,0.330,0.708,0.704,1.412,50.12,0.198,1195,0.706,0.240,0.139,0.101
666,M,11,16.58,21.29,257,50.97,256,1.918,5.96,0.050,0.161,0.914,1.018,1.932,47.31,0.206,1182,0.698,0.436,0.261,0.175
667,M,11,13.93,10.41,181,59.23,87,2.730,4.46,0.046,0.223,0.817,0.498,1.315,62.14,0.239,1227,0.628,0.245,0.155,0.091
668,M,11,14.83,20.58,258,53.37,277,1.848,6.07,0.048,0.158,0.983,0.814,1.797,54.68,0.242,1250,0.629,0.417,0.249,0.169
669,M,11,15.94,16.09,225,58.45,203,2.300,5.52,0.046,0.171,0.865,0.907,1.772,48.83,0.206,1195,0.793,0.383,0.244,0.138
670,M,11,15.38,14.01,210,53.47,136,2.291,4.48,0.049,0.220,0.885,0.581,1.466,60.38,0.243,1264,0.636,0.300,0.192,0.108
671,M,11,15.53,5.04,131,52.85,22,2.691,2.40,0.050,0.425,0.894,0.838,1.732,51.61,0.219,1209,0.589,0.375,0.229,0.146
672,M,11,15.23,7.57,150,58.09,41,2.868,3.36,0.048,0.295,0.673,0.691,1.364,49.33,0.187,1202,0.925,0.233,0.159,0.074
673,M,11,14.53,9.98,188,54.70,62,2.570,3.86,0.049,0.261,0.815,0.552,1.367,59.60,0.234,1260,0.623,0.250,0.138,0.112
674,M,11,15.58,16.81,223,54.57,216,2.217,5.28,0.048,0.187,0.726,0.686,1.411,51.42,0.197,1178,0.718,0.253,0.162,0.091
675,M,11,14.93,7.55,143,53.86,39,2.683,3.20,0.050,0.313,0.789,0.995,1.784,44.22,0.188,1187,0.924,0.356,0.207,0.149
676,M,11,15.04,9.82,173,56.81,67,2.428,3.72,0.046,0.271,0.788,0.516,1.304,60.43,0.236,1234,0.512,0.234,0.146,0.089
677,M,11,15.19,7.15,146,57.98,60,2.536,2.87,0.045,0.354,0.807,0.766,1.573,51.32,0.211,1191,0.696,0.305,0.175,0.130
678,M,11,14.58,15.40,214,48.60,127,2.234,4.45,0.054,0.226,0.996,0.808,1.804,55.19,0.247,1201,0.589,0.433,0.275,0.159
679,F,11,15.74,5.12,143,46.47,14,2.952,2.17,0.059,0.473,0.810,0.579,1.389,58.32,0.228,1268,0.680,0.260,0.160,0.100
680,F,11,14.53,17.76,239,49.57,154,1.920,5.09,0.051,0.191,0.846,0.534,1.381,61.31,0.241,1241,0.651,0.269,0.175,0.094
681,F,11,14.80,13.40,212,46.89,86,2.350,4.01,0.058,0.251,0.977,0.756,1.733,56.37,0.242,1193,0.643,0.395,0.239,0.156
682,F,11,15.19,22.62,274,43.65,201,1.622,5.48,0.057,0.183,0.789,0.724,1.513,52.16,0.205,1184,0.889,0.286,0.169,0.117
683,F,11,13.68,16.55,230,50.61,156,2.154,5.07,0.052,0.196,0.696,0.797,1.493,46.65,0.174,1180,0.723,0.267,0.174,0.092
684,F,11,15.13,7.64,157,57.10,44,3.140,3.57,0.048,0.283,0.722,0.628,1.350,53.51,0.201,1232,0.761,0.232,0.141,0.091
685,F,11,15.69,39.04,402,29.73,154,0.243,6.03,0.079,0.156,1.169,0.698,1.867,62.63,0.288,1207,0.713,0.486,0.290,0.195
686,F,11,14.79,24.72,299,41.61,182,1.541,5.60,0.060,0.171,0.761,0.559,1.320,57.65,0.217,1227,0.663,0.232,0.142,0.091
687,F,11,15.24,36.93,376,34.52,239,0.382,6.58,0.068,0.139,0.823,0.673,1.496,55.00,0.214,1215,0.867,0.293,0.184,0.109
688,F,11,15.28,24.06,288,42.96,193,1.450,5.69,0.058,0.172,0.842,0.739,1.581,53.23,0.215,1220,0.678,0.322,0.202,0.120
689,F,11,14.64,27.49,305,40.79,239,1.171,5.72,0.058,0.175,0.716,0.582,1.298,55.19,0.204,1228,0.708,0.219,0.133,0.086
690,F,11,15.18,18.11,245,43.18,122,2.121,4.54,0.062,0.217,0.944,0.670,1.614,58.50,0.244,1231,0.572,0.356,0.226,0.130
691,F,11,14.84,12.64,198,39.47,67,2.156,2.82,0.067,0.378,0.756,0.680,1.436,52.63,0.207,1210,0.913,0.259,0.160,0.100
692,F,11,14.88,10.98,195,57.43,78,2.924,4.41,0.049,0.227,0.706,0.657,1.363,51.79,0.193,1235,0.676,0.233,0.142,0.091
693,F,11,15.49,15.93,232,47.34,106,2.110,4.54,0.056,0.218,0.775,0.734,1.509,51.36,0.205,1240,0.738,0.277,0.157,0.120
694,F,11,13.66,21.10,266,43.38,151,1.749,5.07,0.059,0.189,0.684,0.635,1.319,51.84,0.190,1191,0.701,0.216,0.127,0.090
695,F,11,14.37,13.92,213,48.65,92,2.330,4.27,0.054,0.233,0.698,0.652,1.350,51.68,0.192,1218,0.655,0.236,0.156,0.080
696,F,11,15.49,21.10,275,43.96,158,1.875,5.16,0.058,0.190,0.903,0.762,1.665,54.24,0.226,1246,0.714,0.359,0.224,0.135
697,F,11,14.08,13.10,195,54.61,114,2.251,4.56,0.048,0.217,0.638,0.749,1.388,46.00,0.168,1194,0.794,0.223,0.138,0.086
698,F,11,15.13,21.32,269,37.44,115,1.590,4.29,0.068,0.239,0.771,0.791,1.562,49.36,0.199,1204,0.809,0.294,0.180,0.114
