Mouse,Gender,Batch,Femur length (mm),BV/TV (%),BMD (mgHA/cm3),BS/BV (mm2/mm3),Conn.D. (1/mm3),SMI,Tb.N (1/mm),Tb.Th (mm),Tb.Sp (mm),Ct.Ar[mm2],Ma.Ar[mm2],Tt.Ar[mm2],Ct.Ar/Tt.Ar (%),Ct.Th (mm),Ct.TMD (mgHA/cm3),Cort. Porosity (%),pMOI[mm4],Imax[mm4],Imin[mm4]
355,M,6,14.33,10.09,166,55.49,104,2.333,3.673,0.048,0.275,0.602,0.569,1.171,51.42,0.180,1234,0.605,0.169,0.096,0.073
356,M,6,14.49,6.82,140,70.29,73,2.807,3.773,0.038,0.265,0.789,0.641,1.430,55.14,0.214,1221,0.752,0.267,0.166,0.102
357,M,6,14.43,20.97,254,42.83,160,1.439,4.651,0.057,0.209,0.711,0.784,1.495,47.53,0.182,1201,0.820,0.265,0.165,0.100
358,M,6,15.83,7.26,140,50.06,40,2.803,2.730,0.054,0.374,0.727,0.702,1.429,50.86,0.199,1198,0.691,0.249,0.144,0.105
359,M,6,15.17,12.32,184,53.18,102,2.301,3.836,0.050,0.257,0.806,0.773,1.579,51.02,0.206,1223,1.080,0.311,0.191,0.120
360,M,6,14.88,17.91,238,51.19,190,2.004,5.210,0.051,0.188,0.813,0.712,1.525,53.30,0.217,1247,0.605,0.301,0.197,0.104
361,M,6,13.22,8.77,151,48.28,66,1.904,2.273,0.051,0.541,0.546,0.511,1.056,51.67,0.172,1224,0.668,0.140,0.085,0.055
362,F,6,15.23,10.18,185,59.46,107,2.523,3.837,0.046,0.261,0.782,0.456,1.237,63.17,0.238,1251,0.825,0.213,0.125,0.087
363,F,6,15.18,5.60,155,60.72,24,3.378,3.323,0.046,0.307,0.878,0.534,1.413,62.18,0.249,1280,0.619,0.274,0.149,0.125
364,F,6,13.84,8.49,166,41.99,45,2.052,1.938,0.063,0.546,0.723,0.553,1.276,56.69,0.208,1199,0.645,0.213,0.125,0.088
365,F,6,15.21,23.75,289,42.44,184,1.749,5.321,0.061,0.175,0.981,0.715,1.696,57.84,0.228,1221,1.382,0.390,0.250,0.139
366,F,6,14.79,6.09,138,50.88,35,2.863,2.623,0.054,0.392,0.653,0.697,1.350,48.35,0.177,1211,0.700,0.213,0.115,0.098
367,F,6,15.13,20.92,258,49.20,209,1.464,5.288,0.050,0.179,0.715,0.620,1.336,53.56,0.202,1251,0.623,0.224,0.121,0.103
368,F,6,14.56,14.46,216,52.97,107,2.113,4.646,0.050,0.213,0.873,0.572,1.445,60.40,0.246,1279,0.671,0.282,0.161,0.121
369,F,6,15.29,9.00,168,52.74,52,3.009,3.533,0.054,0.288,0.879,0.824,1.703,51.64,0.217,1246,0.786,0.364,0.227,0.137
370,F,6,14.66,13.14,196,50.84,124,2.335,4.148,0.051,0.246,0.696,0.586,1.283,54.29,0.198,1220,0.656,0.217,0.139,0.077
371,F,6,13.43,6.10,138,57.74,46,2.761,2.662,0.047,0.384,0.571,0.456,1.027,55.58,0.182,1222,0.683,0.139,0.085,0.053
372,F,6,14.43,6.93,152,66.22,44,3.394,3.998,0.044,0.253,0.690,0.681,1.371,50.35,0.189,1234,0.631,0.227,0.131,0.096
373,F,6,15.53,6.33,133,55.61,42,2.848,2.972,0.049,0.345,0.719,0.795,1.514,47.47,0.181,1247,0.639,0.272,0.166,0.105
374,F,6,15.54,12.66,188,45.14,74,2.155,3.432,0.058,0.297,0.924,0.844,1.768,52.25,0.223,1193,0.686,0.388,0.222,0.165
375,F,6,14.88,18.04,237,44.23,125,1.815,4.542,0.057,0.219,0.757,0.735,1.492,50.73,0.200,1200,0.773,0.271,0.156,0.114
376,F,6,15.58,8.92,166,54.67,48,2.786,3.642,0.050,0.276,0.714,0.599,1.314,54.37,0.202,1230,0.677,0.222,0.133,0.089
377,F,6,15.78,15.22,212,41.19,119,1.345,3.112,0.059,0.342,0.775,0.856,1.632,47.52,0.190,1194,0.915,0.310,0.173,0.137
378,M,7,15.19,15.23,213,56.18,197,2.250,4.95,0.048,0.197,0.932,0.620,1.552,60.06,0.219,1222,1.823,0.323,0.185,0.138
379,M,7,15.23,10.96,173,58.05,116,2.278,4.05,0.045,0.248,0.841,0.654,1.495,56.26,0.228,1218,0.631,0.301,0.192,0.108
380,M,7,15.17,11.87,190,60.85,121,2.533,4.65,0.045,0.209,0.783,0.605,1.388,56.42,0.213,1254,0.682,0.277,0.199,0.078
381,M,7,15.37,15.58,215,45.78,100,2.184,4.22,0.059,0.233,0.909,0.788,1.697,53.55,0.232,1223,0.598,0.365,0.210,0.155
382,M,7,14.08,15.04,212,50.38,128,2.355,4.54,0.054,0.216,0.755,0.482,1.237,61.01,0.223,1239,0.702,0.216,0.139,0.078
383,M,7,14.92,13.79,197,57.15,153,2.084,4.76,0.046,0.209,0.824,0.747,1.571,52.48,0.207,1211,0.979,0.324,0.217,0.107
384,M,7,14.48,14.46,215,50.93,114,2.247,4.27,0.052,0.232,0.805,0.532,1.337,60.20,0.232,1245,0.592,0.244,0.144,0.100
385,M,7,13.92,15.56,212,45.50,111,1.921,3.85,0.055,0.263,0.636,0.645,1.281,49.63,0.178,1232,0.687,0.200,0.122,0.078
386,M,7,14.66,7.93,122,45.39,33,2.480,2.28,0.062,0.450,0.821,0.517,1.338,61.35,0.240,1220,0.613,0.252,0.161,0.091
387,M,7,15.38,17.54,231,56.74,234,2.169,5.64,0.046,0.172,0.665,0.447,1.113,59.80,0.209,1228,0.744,0.169,0.103,0.066
388,M,7,15.28,9.08,157,51.39,57,2.458,3.02,0.052,0.339,0.783,0.597,1.380,56.72,0.221,1240,0.600,0.257,0.161,0.096
389,M,7,14.42,12.16,204,47.54,62,2.734,4.00,0.060,0.250,0.813,0.478,1.292,62.97,0.244,1239,0.620,0.234,0.143,0.091
390,M,7,13.78,16.51,216,55.07,206,2.169,5.29,0.048,0.182,0.626,0.628,1.254,49.90,0.178,1191,0.724,0.189,0.104,0.085
391,M,7,15.38,16.60,215,55.68,201,2.281,5.30,0.048,0.181,0.635,0.502,1.138,55.84,0.199,1208,0.635,0.169,0.098,0.071
392,M,7,15.98,6.67,142,60.91,48,3.083,3.65,0.046,0.276,0.959,0.762,1.720,55.73,0.243,1252,0.634,0.386,0.225,0.160
393,M,7,14.33,17.96,237,54.24,245,2.095,5.62,0.048,0.175,0.724,0.600,1.324,54.67,0.203,1244,0.659,0.226,0.135,0.091
394,M,7,15.13,11.85,193,53.68,84,2.387,3.92,0.048,0.254,0.757,0.588,1.345,56.28,0.217,1267,0.539,0.236,0.138,0.098
395,M,7,14.99,10.31,175,56.59,100,2.496,3.75,0.047,0.268,0.782,0.732,1.514,51.63,0.210,1205,0.838,0.283,0.163,0.120
396,M,7,14.23,9.21,171,59.60,86,2.743,3.80,0.046,0.261,0.726,0.638,1.363,53.22,0.202,1228,0.714,0.233,0.133,0.100
397,M,7,15.87,15.49,218,53.19,151,2.231,4.86,0.051,0.202,1.102,0.566,1.668,66.05,0.255,1251,1.197,0.399,0.249,0.151
398,F,7,15.33,12.65,192,47.78,122,2.288,3.38,0.055,0.308,0.726,0.753,1.478,49.09,0.193,1232,0.619,0.266,0.163,0.103
399,F,7,15.15,15.15,221,42.66,85,1.784,3.36,0.061,0.309,0.777,0.559,1.335,58.17,0.225,1241,0.679,0.237,0.140,0.097
400,F,7,13.78,16.68,227,52.74,164,2.031,4.89,0.049,0.199,0.640,0.692,1.332,48.05,0.172,1223,0.813,0.209,0.122,0.087
401,F,7,15.42,31.57,332,37.55,271,0.742,5.81,0.063,0.167,0.921,0.898,1.819,50.63,0.217,1195,1.226,0.406,0.242,0.164
402,F,7,15.21,10.26,172,55.02,77,2.859,3.98,0.049,0.254,0.792,0.844,1.636,48.40,0.196,1248,0.741,0.318,0.192,0.126
403,F,7,14.23,15.90,222,50.65,158,2.000,4.70,0.051,0.209,0.721,0.515,1.235,58.34,0.213,1234,0.582,0.201,0.110,0.091
404,F,7,14.43,30.27,347,34.47,163,1.117,5.56,0.073,0.184,0.742,0.420,1.162,63.84,0.235,1271,0.601,0.189,0.109,0.080
405,F,7,14.33,17.13,229,45.89,150,1.890,4.35,0.056,0.236,0.758,0.635,1.393,54.43,0.206,1231,0.707,0.249,0.147,0.102
406,F,7,15.11,9.56,168,42.06,44,2.189,2.71,0.064,0.383,0.733,0.550,1.283,57.14,0.211,1222,0.511,0.218,0.131,0.087
407,F,7,15.24,11.52,189,38.47,68,1.741,1.96,0.065,0.551,0.740,0.533,1.273,58.15,0.216,1280,0.602,0.214,0.117,0.097
408,F,7,14.99,8.28,147,39.62,42,1.693,1.93,0.063,0.548,0.583,0.636,1.219,47.85,0.168,1237,0.723,0.172,0.096,0.076
409,F,7,15.10,24.34,299,35.65,139,1.519,4.69,0.072,0.220,0.910,0.555,1.465,62.10,0.255,1240,0.732,0.296,0.174,0.122
410,F,7,14.38,22.71,276,40.97,190,1.638,4.87,0.062,0.210,0.636,0.606,1.242,51.19,0.182,1218,0.704,0.192,0.119,0.073
411,F,7,14.13,23.06,278,43.32,178,1.457,5.08,0.057,0.188,0.877,0.610,1.487,58.99,0.236,1247,0.627,0.298,0.178,0.120
412,F,7,14.88,20.17,267,42.28,111,1.446,4.51,0.061,0.225,0.794,0.619,1.413,56.17,0.222,1235,0.727,0.258,0.143,0.115
413,F,7,13.79,2.45,114,58.92,6,2.814,1.39,0.046,0.731,0.622,0.588,1.210,51.39,0.178,1239,0.668,0.186,0.117,0.069
414,F,7,14.93,40.70,433,28.95,176,0.100,6.31,0.079,0.151,0.949,0.664,1.612,58.84,0.229,1216,1.102,0.346,0.210,0.136
415,F,7,15.33,17.56,241,45.64,135,2.324,4.76,0.060,0.204,0.915,0.920,1.835,49.86,0.194,1235,1.400,0.409,0.249,0.161
416,F,7,15.58,18.15,250,45.20,129,2.215,4.72,0.060,0.209,0.867,0.543,1.409,61.50,0.242,1270,1.026,0.279,0.177,0.102
417,F,7,14.24,4.57,132,45.76,9,1.950,1.70,0.053,0.609,0.640,0.483,1.122,57.01,0.196,1251,0.626,0.169,0.107,0.063
418,M,8,15.58,19.20,240,47.05,209,2.045,4.99,0.055,0.203,0.816,1.262,2.077,39.26,0.169,1188,0.863,0.449,0.280,0.168
419,M,8,14.38,21.38,279,44.68,168,1.913,5.30,0.059,0.179,1.306,0.940,2.246,58.13,0.286,1237,0.935,0.700,0.472,0.228
