sample #,VOI1,VOI2,VOI3,VOI4,
318,0.1609,0.1843,0.2741,0.1276,
319,0.0014,0.0001,0.0007,0.0004,
320,0.0301,0.0221,0.0021,0.0056,
321,0.3754,0.0168,0.007,0.0019,
322,0.0849,0.1155,0.1023,0.0388,
323,0.018,0.0037,0.001,0.0003,
324,0.0489,0.1146,0.0956,0.0944,
325,0.0012,0.0033,0.0009,0.0004,
326,0.0017,0.0002,0,0,
327,0.0813,0.2308,0.2079,0.2635,
328,0.0003,0.0024,0.0051,0.0014,
329,0.0014,0,0,0,
330,0.005,0.0746,0.0145,0.0039,
331,0.0036,0.0083,0.0012,0.0035,
332,0.0171,0.0004,0.0001,0.0015,
333,0.0001,0,0,0,
334,0,0,0,0,
335,0.0022,0,0,0,
336,0,0,0,0,
337,0.0005,0.1282,0.0259,0.0194,
338,0,0,0,0,
339,0.0055,0.0008,0,0,
340,0,0,0,0,
341,0,0,0,0,
342,0.035,0.1637,0.0367,0.0421,
343,0.0001,0.0817,0.0555,0.0103,
344,0.013,0.0023,0.0013,0.0086,
345,0.0084,0.2081,0.084,0.0151,
346,0.1156,0.2381,0.1024,0.0878,
347,0.071,0.5454,0.2582,0.1407,
348,0.013,0.0061,0.0027,0.0119,
349,0.0007,0,0,0.0005,
350,0.0089,0.0036,0.0032,0.0022,
351,0.0062,0.002,0,0,
352,0.0129,0.1679,0.0258,0.0179,
353,0.0002,0.0002,0,0,
354,0.1377,0.4007,0.2736,0.0297,
355,0,0.0001,0,0,
356,0.0007,0.0157,0.0072,0.0032,
357,0.0747,0.0508,0.0421,0.008,
358,0,0.0003,0,0.0001,
359,0.021,0.144,0.0448,0.0337,
360,0.0352,0.1466,0.0179,0.0049,
361,0.0051,0.0089,0.0003,0,
362,0.0343,0.0013,0,0,
363,0.0052,0.0004,0.0008,0.0002,
364,0.0034,0.0023,0,0,
365,0.008,0.451,0.0114,0.0008,
366,0.0086,0.0463,0.0018,0.0005,
367,0.0001,0.0001,0.0001,0,
368,0.0189,0.0044,0,0.0001,
369,0.006,0.0008,0,0,
370,0.0112,0.0016,0.0007,0,
371,0.0173,0.0235,0.0081,0.0183,
372,0.0008,0.0017,0.0089,0.0076,
373,0.0052,0.019,0.0476,0.0348,
374,0.002,0.0228,0.0029,0.0039,
375,0.0001,0.0001,0,0,
376,0.0008,0.0019,0.0021,0.0002,
377,0.0002,0.0021,0.0014,0.0004,
378,0.004,0.0042,0.0005,0.0001,
379,0.0271,0.0093,0.0126,0.0191,
380,0.0024,0.006,0.0018,0.0002,
381,0.0002,0.0001,0,0,
382,0.0023,0.045,0.0238,0.0086,
383,0.0025,0.0076,0.0007,0.0069,
384,0.0001,0.0009,0,0,
385,0.0005,0,0,0,
387,0.0034,0.0034,0.0021,0.003,
388,0.0012,0,0,0,
389,0.0059,0.0015,0.0003,0.001,
390,0.0313,0.0584,0.0266,0.0092,
391,0.0022,0.0001,0,0.001,
392,0.0126,0.0488,0.0173,0.0032,
394,0.0002,0,0,0.0001,
395,0,0,0,0,
396,0,0,0,0,
397,0.047,0.0058,0.0002,0.0003,
398,0.1,0.5581,0.2907,0.089,
399,0,0,0,0,
400,0.0012,0.0011,0,0,
401,0.0001,0.0028,0.0022,0.0009,
402,0,0.0001,0,0,
403,0.0005,0,0,0,
404,0.019,0.0089,0.0002,0,
405,0.0001,0,0,0,
406,0.0028,0.0014,0.0001,0,
407,0.0005,0.0013,0.0002,0,
408,0.0059,0.0425,0.0045,0.0005,
409,0.0093,0.0031,0.0008,0.0016,
410,0.0166,0.0031,0.0031,0.0023,
411,0.0004,0.005,0.007,0.0001,
412,0.0017,0.1468,0.0003,0,
413,0.0961,0.0047,0.0036,0.0017,
414,0.0352,0.1815,0.0474,0.0439,
416,0.0153,0.0481,0.0095,0.0165,
417,0.0003,0.0109,0.0017,0.0339,
418,0.0041,0.0134,0.039,0.009,
419,0.0096,0.0015,0.0008,0.0049,
420,0.1705,0.4025,0.3128,0.3148,
421,0.0043,0.0014,0,0.0002,
422,0.0016,0.0003,0,0.0005,
423,0.0062,0.0036,0.0014,0.0013,
424,0.0575,0.0974,0.014,0.0291,
425,0,0.0011,0.0056,0.0059,
426,0.0035,0.0555,0.0139,0.0003,
427,0.1283,0.6123,0.5734,0.2236,
428,0.0991,0.0837,0.0552,0.0209,
429,0.0294,0.013,0.0011,0.0031,
430,0.0068,0.0022,0.0009,0.0029,
431,0.1478,0.2492,0.3352,0.1795,
432,0.0006,0.0086,0.004,0.0003,
433,0.0056,0.0001,0,0.0006,
434,0.0005,0.0011,0.0013,0.0056,
435,0.002,0.0041,0,0,
436,0.0015,0.0183,0.0048,0.0019,
437,0.0003,0,0,0,
438,0,0,0,0,
439,0.0013,0.0094,0.0003,0.0001,
440,0.0002,0,0,0,
441,0.0007,0.0015,0,0,
442,0.0199,0.0439,0.0022,0.0005,
443,0.0554,0.2348,0.0602,0.0122,
444,0.0009,0.0004,0,0,
445,0.0035,0.0304,0.022,0.0046,
446,0.0002,0.0005,0,0,
447,0.0003,0,0,0,
448,0.4878,0.8978,0.8405,0.889,
449,0.0001,0.0005,0,0,
450,0,0.0013,0,0.0003,
451,0.004,0.1184,0.1001,0.0208,
452,0.0002,0,0,0,
453,0,0,0,0,
454,0.0049,0.006,0.0007,0.0016,
455,0.0007,0.0034,0,0,
456,0.0013,0.0053,0.0001,0,
457,0.0004,0.013,0.0003,0,
458,0.002,0.0128,0.0087,0.003,
459,0.0083,0.0049,0.0005,0.0005,
460,0.0012,0,0,0,
461,0.1853,0.4251,0.2649,0.0214,
