Specimen,Femur length [mm],Stiffness [N/mm],Yield Stiffness [N/mm],Max Load [N],Yield Load [N],Fracture Load [N],Post-yield Deflection [mm],Disp at Yield [mm],Disp at Fx [mm],Disp at Max Load [mm],Total Work [N-mm],Work to Yield [N-mm],Work Post-yield [N-mm]
DO-265,16.18,164.607,148.15,44.79,24.53,41.76,0.151,0.173,0.325,0.314,14.38,2.26,12.12
DO-266,15.95,188.107,169.3,27.49,20.56,25.42,0.051,0.128,0.179,0.172,4.97,2.63,2.34
DO-267,15.29,229.18,206.26,40.5,36.43,38.06,0.023,0.21,0.233,0.213,9.23,3.89,5.34
DO-268,15.86,199.666,179.7,35.17,13.82,35.04,0.108,0.076,0.184,0.183,6.56,0.61,5.95
DO-269,16.05,210.878,189.79,43.23,21.82,38.09,0.223,0.115,0.338,0.282,15.41,1.38,14.03
DO-270,15.52,205.018,184.52,29.95,21.28,28.7,0.083,0.131,0.215,0.21,6.83,2.79,4.04
DO-271,15.51,163.721,147.35,40.27,16.82,38.59,0.206,0.128,0.333,0.332,13.73,2.15,11.58
DO-272,15.91,252.508,227.26,46.49,36.19,42.14,0.075,0.164,0.239,0.231,11.33,3.21,8.12
DO-273,16.36,242.42,218.18,42.9,37.86,41.81,0.067,0.201,0.269,0.252,12.11,3.8,8.3
DO-274,15.44,267.877,241.09,44.82,42.18,44.82,0.017,0.196,0.213,0.211,9.73,4.22,5.51
DO-275,15.19,238.786,214.91,40.64,,40.35,0,,0.185,0.184,7.46,7.46,0
DO-276,15.86,178.467,160.62,30.54,,30.54,0,,0.21,0.21,6.17,6.17,0
DO-277,15.43,160.776,144.7,34.35,15.65,31.52,0.117,0.102,0.219,0.215,7.48,0.92,6.55
DO-278,15.28,240.52,216.47,30.73,16.85,30.73,0.071,0.077,0.148,0.148,4.63,0.73,3.91
DO-279,14.94,189.389,170.45,37.49,35.51,36.86,0.024,0.233,0.257,0.253,9.83,4.23,5.6
DO-280,16.22,285.431,256.89,51.05,33.65,50.62,0.208,0.136,0.344,0.277,20.44,2.48,17.96
DO-281,16.46,199.378,179.44,46.96,43.97,46.37,0.019,0.283,0.302,0.302,14.19,6.33,7.86
DO-282,14.49,192.695,173.43,44.02,35.97,43.32,0.166,0.226,0.392,0.365,19.38,4.18,15.19
DO-283,16.21,266.152,239.54,39.04,,39.04,0,,0.161,0.161,6.24,6.24,0
DO-284,14.7,188.219,169.4,40.08,34.97,39.46,0.12,0.219,0.339,0.32,15.24,4.01,11.23
