Specimen,Femur length [mm],Stiffness [N/mm],Yield Stiffness [N/mm],Max Load [N],Yield Load [N],Fracture Load [N],Post-yield Deflection [mm],Disp at Yield [mm],Disp at Fx [mm],Disp at Max Load [mm],Total Work [N-mm],Work to Yield [N-mm],Work Post-yield [N-mm]
DO-1,15.78,192.144,172.93,35.37,15.1,33.77,0.3,0.085,0.385,0.316,32.18,1.91,30.27
DO-2,13.93,136.275,122.65,26.95,19.46,21.55,0.345,0.158,0.503,0.33,32.1,4.37,27.73
DO-3,15.78,159.708,143.74,31.89,27.91,24.9,0.682,0.267,0.949,0.513,70.13,10.41,59.72
DO-4,15.23,182.498,164.25,34.89,21,34.71,0.319,0.129,0.449,0.444,37.72,4.24,33.48
DO-5,14.53,164.481,148.03,33.7,28.25,33.7,0.065,0.192,0.257,0.257,21.11,10.76,10.36
DO-6,14.43,152.77,137.49,25.51,20.18,25.51,0.129,0.152,0.281,0.281,16.82,4.13,12.68
DO-7,14.68,151.276,136.15,29.56,26.27,28.14,0.125,0.194,0.319,0.292,25.1,7.68,17.42
DO-8,14.48,122.267,110.04,27.52,22.92,23.6,0.429,0.213,0.642,0.399,68.79,7.08,61.72
DO-9,15.23,183.833,165.45,45.51,38.95,45.03,0.061,0.237,0.298,0.294,27.47,14.13,13.34
DO-10,15.13,172.422,155.18,30.59,18.48,30.59,0.264,0.121,0.385,0.385,28.07,3.25,24.81
DO-11,15.03,99.09,89.18,29.87,29.42,18.34,0.155,0.332,0.486,0.323,33.13,14.91,18.22
DO-12,14.43,174.968,157.47,35.59,30.88,34.8,0.118,0.218,0.336,0.312,26.65,9.78,16.87
DO-13,14.23,138.683,124.81,27.9,19.6,26.75,0.299,0.154,0.453,0.333,56.96,4.7,52.26
DO-14,13.53,149.855,134.87,34.98,15.72,34.98,0.274,0.116,0.389,0.389,43.16,2.57,40.59
DO-15,14.03,169.784,152.81,30.79,22.44,30.66,0.133,0.148,0.28,0.278,18.62,5.09,13.52
DO-16,14.93,165.875,149.29,34.82,16.93,34.82,0.174,0.113,0.288,0.288,20.81,2.93,17.88
DO-17,15.03,202.563,182.31,42.32,23.83,42.31,0.262,0.129,0.391,0.39,37.02,4.63,32.39
DO-18,14.68,149.841,134.86,29.11,24.4,29.08,0.136,0.179,0.315,0.313,21.15,6.73,14.42
DO-19,15.78,234.771,211.29,41.58,27.74,39.88,0.266,0.132,0.398,0.369,38.47,5.09,33.38
DO-20,15.13,171.596,154.44,36.7,21.91,36.7,0.144,0.143,0.287,0.287,21.55,4.9,16.64
DO-21,16.28,201.328,181.19,28.01,22.12,27.82,0.058,0.124,0.183,0.182,10.65,4.04,6.61
DO-22,14,168.425,151.58,33.29,19.06,32.84,0.132,0.127,0.26,0.258,17.66,3.59,14.06
DO-23,14.83,98.979,89.08,21.02,20.08,16.48,0.131,0.272,0.403,0.278,16.82,7.05,9.78
DO-24,15.73,178.934,161.04,25.59,12.65,25.44,0.156,0.083,0.239,0.231,13.35,1.45,11.89
DO-25,13.68,142.997,128.7,32.7,25.03,30.1,0.323,0.193,0.515,0.383,41.78,6.73,35.05
DO-26,14.68,256.896,231.21,58.17,52.19,42.21,0.263,0.247,0.51,0.328,77.68,18.54,59.14
DO-27,14.13,150.898,135.81,25.99,18.84,22.62,0.382,0.138,0.52,0.352,47.69,4.06,43.62
DO-28,14.63,157.649,141.88,29.88,26.42,21.04,0.228,0.191,0.419,0.266,46.06,9.35,36.71
DO-29,14.73,171.638,154.47,28.15,19.03,27.57,0.114,0.12,0.235,0.228,14.6,3.74,10.85
DO-30,15.43,174.119,156.71,24.44,19.88,23.9,0.047,0.126,0.173,0.172,8.58,3.76,4.82
DO-31,15.53,156.294,140.66,26.44,14.43,25.72,0.464,0.099,0.563,0.551,39.38,2.32,37.07
DO-32,15.18,233.883,210.49,38.54,31.48,38.46,0.055,0.149,0.204,0.201,15.74,6.86,8.88
DO-33,14.78,169.58,152.62,38.21,32.61,37.41,0.179,0.213,0.393,0.371,35.79,10.31,25.48
DO-34,15.1,181.234,163.11,42.83,25.25,39.61,0.413,0.154,0.567,0.501,65.18,5.56,59.63
DO-35,15.58,192.111,172.9,33.29,22.83,32.91,0.138,0.133,0.271,0.264,24.92,4.19,20.73
DO-36,14.68,190.82,171.74,38.27,22.51,33.99,0.229,0.132,0.362,0.31,32.49,4.39,28.1
DO-37,14.38,159.708,143.74,39.98,33.32,38.41,0.075,0.228,0.303,0.293,24.15,11.41,12.74
DO-38,16.14,184.989,166.49,34.11,20.61,34.11,0.372,0.125,0.497,0.497,40.41,3.42,36.99
DO-39,15.38,152.122,136.91,34.28,27.06,33.83,0.109,0.201,0.31,0.309,22.23,8.21,14.02
DO-40,15.23,191.888,172.7,48,25.43,47.94,0.168,0.145,0.313,0.312,30.5,5.73,24.76
DO-41,16.04,245.428,220.89,52.03,38.12,51.7,0.118,0.179,0.297,0.29,32.43,9.91,22.52
DO-42,15.88,148.522,133.67,36.16,20.43,31.49,0.471,0.155,0.626,0.374,70.1,4.7,65.4
DO-43,14.33,196.166,176.55,43.96,40.5,43.62,0.058,0.232,0.289,0.286,26.7,13.96,12.73
DO-44,15.53,221.051,198.95,50.37,49.93,50.01,0.011,0.269,0.281,0.266,26.01,17.8,8.21
DO-45,15.63,182.194,163.97,27.83,22.54,26.67,0.202,0.135,0.337,0.302,23.08,4.47,18.61
DO-46,13.88,232.974,209.68,53.94,38.13,53.94,0.213,0.184,0.397,0.397,48.31,9.97,38.34
DO-47,14.63,177.974,160.18,32.88,20.39,32.26,0.189,0.124,0.314,0.306,29.61,3.89,25.72
DO-48,13.89,159.048,143.14,37.73,34.47,27.66,0.217,0.241,0.457,0.311,77.53,12.34,65.2
DO-49,15.68,262.126,235.91,46.39,40.47,45.11,0.096,0.189,0.285,0.278,28.79,10.63,18.17
DO-50,14.63,148.64,133.78,45.23,44.09,37.08,0.129,0.332,0.462,0.337,63.22,34.95,28.26
DO-51,14.83,185.335,166.8,38.24,26.12,37.23,0.151,0.156,0.307,0.293,25.94,5.86,20.09
DO-52,14.68,172.772,155.49,38.52,22.81,37.89,0.212,0.149,0.361,0.354,30.11,5.15,24.96
DO-53,15.98,175.429,157.89,54.94,50.77,54.16,0.088,0.324,0.411,0.402,49.17,24.86,24.32
DO-54,15.23,192.751,173.48,50.97,26.89,42.75,0.919,0.153,1.072,0.543,174.73,6.21,168.52
DO-55,15.18,221.209,199.09,43.12,24.55,42.69,0.149,0.124,0.273,0.272,23.16,4.47,18.69
DO-56,15.63,246.091,221.48,53.76,53.46,53.23,0.001,0.275,0.276,0.275,28.74,20.66,8.09
DO-57,15.12,227.897,205.11,28.82,20.55,28.4,0.088,0.092,0.18,0.157,5.71,1.89,3.82
DO-58,14.79,299.44,269.5,36.79,20.08,35.25,0.168,0.078,0.246,0.241,10.15,1.57,8.58
DO-59,15.02,305.004,274.5,44.04,23.35,42,0.143,0.085,0.228,0.225,10.69,1.98,8.71
DO-60,15.52,264.587,238.13,22.21,19.38,22.21,0.048,0.079,0.128,0.128,3.29,0.88,2.41
DO-61,15.09,210.042,189.04,42.42,32.29,39.27,0.175,0.162,0.337,0.304,16.22,5.23,10.99
DO-62,14.56,219.088,197.18,50.21,38.49,48.48,0.064,0.189,0.253,0.25,13.05,4.13,8.92
DO-63,13.92,129.579,116.62,32.19,20.84,29.04,0.227,0.194,0.411,0.34,14.2,4.04,10.16
DO-64,14.09,182.131,163.92,33.18,25.51,31.38,0.169,0.151,0.319,0.304,12.25,3.85,8.4
DO-65,15.72,223.364,201.03,33.72,19.26,32.77,0.178,0.094,0.272,0.246,10.44,1.02,9.42
DO-66,15.93,271.27,211.14,38.74,33.94,37.55,0.069,0.136,0.205,0.186,8.87,2.58,6.29
DO-67,14.52,196.032,176.43,27.96,12.49,26.77,0.23,0.062,0.292,0.279,9.23,0.77,8.46
DO-68,15.9,193.967,174.57,47.6,44.21,47.43,0.012,0.284,0.297,0.296,14.02,6.46,7.56
DO-69,15.61,164.05,147.64,38.41,17.98,37.9,0.191,0.11,0.301,0.3,12.27,1.15,11.12
DO-70,15.49,239.846,215.86,35.34,24.35,34.78,0.137,0.103,0.24,0.24,9.64,2.51,7.13
DO-71,15.15,252.702,227.43,43.02,27.28,41.58,0.134,0.113,0.247,0.231,11.84,3.08,8.76
DO-72,15.27,309.533,278.58,50.23,22.88,49.71,0.251,0.081,0.331,0.316,19.68,1.02,18.65
DO-73,15.62,258.45,232.6,36.39,31.33,28.84,0.149,0.14,0.289,0.233,11.76,4.39,7.37
DO-74,15.62,296.86,267.17,42.01,39.24,41.98,0.003,0.149,0.151,0.144,6.55,3.26,3.28
DO-75,16.11,287.542,258.79,35.7,20.4,32.61,0.264,0.075,0.339,0.228,14.46,0.87,13.59
DO-76,15.6,359.395,323.46,55.08,46.25,52.56,0.103,0.144,0.246,0.227,15.41,3.58,11.82
DO-77,15.18,268.683,241.81,36.29,29.11,35.88,0.041,0.118,0.159,0.155,6.06,1.9,4.16
DO-78,16,206.065,185.46,34.92,20.6,33.21,0.19,0.105,0.295,0.26,11.78,1.25,10.52
DO-79,15.47,235.684,212.12,39.26,26.68,39.26,0.072,0.141,0.213,0.213,8.52,1.98,6.54
DO-80,15.73,198.066,178.26,36.44,30.76,36.39,0.057,0.144,0.201,0.2,7.82,2.21,5.61
DO-81,15.03,240.27,216.24,27.19,16.82,22.82,0.317,0.086,0.403,0.206,12.55,1.45,11.1
DO-82,15.07,128.206,115.39,39.78,30.96,35.42,0.294,0.257,0.551,0.387,24.62,4.53,20.09
DO-83,15.6,258.66,232.79,29.62,20.7,27.79,0.107,0.107,0.214,0.17,7.04,2.21,4.83
DO-84,14.99,243.597,219.24,45.61,31.26,34.8,0.416,0.222,0.638,0.361,31.41,3.68,27.73
DO-85,14.53,291.543,262.39,40.91,23.86,39.67,0.168,0.092,0.26,0.248,11.95,1.19,10.76
DO-86,14.63,371.528,334.38,37.9,26.99,37.29,0.079,0.081,0.16,0.155,6.79,1.18,5.6
DO-87,14.87,306.141,275.53,44.19,26.67,44.19,0.233,0.098,0.331,0.331,17.37,1.41,15.96
DO-88,15.02,293.072,263.77,46.54,32.67,45.85,0.191,0.119,0.31,0.259,17.49,2.16,15.32
DO-89,15.95,274.815,247.33,38.24,27.73,38.11,0.176,0.113,0.289,0.289,28.44,5.03,23.41
DO-90,15.64,237.617,213.86,32.63,14.25,32.63,0.133,0.069,0.201,0.201,7.02,0.52,6.5
DO-91,14.83,276.12,248.51,41.92,28.91,41.61,0.112,0.118,0.23,0.226,10.63,1.82,8.81
